Field,,Type
unique_id,,int
ID,,int
CODICLIENT,,char(8)
IDPOTENCIAL,,int
IDCOMERCIAL,,int
NOM,,char(80)
CIF,,char(20)
IDTIPUSVIA,,int
DIRECCIO,,varchar(100)
DIRECCIO2,,varchar(100)
CODIPOSTAL,,char(10)
LOCALITAT,,char(50)
PROVINCIA,,char(50)
PAIS,,char(30)
ATENCIOC,,char(40)
IDTIPUSVIAC,,int
DIRECCIOC,,char(100)
DIRECCIO2C,,char(100)
CODIPOSTALC,,char(10)
LOCALITATC,,char(50)
PROVINCIAC,,char(50)
PAISC,,char(2)
TELEFON1,,char(20)
TELEFON2,,char(20)
FAX,,char(20)
EMAIL,,char(50)
EMAILFACT,,char(100)
SWIFT,,char(10)
IBAN,,char(10)
NOMBANC,,char(50)
CCORRENT,,char(24)
COMPTETRANSFER,,char(24)
OBSERVACIONS,,varchar(254)
FORMAPAGLLOG,,int
VENCILLOG,,int
DIAVENCILLOG,,"decimal(2,0)"
ENTAVANCAT,,tinyint(1)
DEVAVANCAT,,tinyint(1)
MESOSAVANCAT,,int
MUNAVANCAT,,tinyint(1)
DESAVANCAT,,tinyint(1)
TIPUSFACTURACIO,,int
FORMAPAGCOMP,,int
VENCICOMP,,int
DIAVENCICOMP,,"decimal(2,0)"
TIPUSTARIFA,,char(10)
TIPUS,,char(6)
ESCLIENT,,tinyint(1)
ESPROVEIDOR,,tinyint(1)
ESDEPOT,,tinyint(1)
ESTRANSPORTISTA,,tinyint(1)
CONTACTE,,char(30)
DATASINCRO,,datetime
IDUSUARICREADOR,,int
DATACREACIO,,datetime
IDUSUARIMODIFICADOR,,int
DATAMODIFICACIO,,datetime
