Field,,Type
unique_id,,int
ID,,int
IDEMPRESA,,int
CODIOBRA,,char(30)
NOM,,varchar(100)
IDTIPUSVIA,,int
DIRECCIO,,varchar(100)
DIRECCIO2,,varchar(100)
CODIPOSTAL,,char(10)
IDLOCALITAT,,int
LOCALITAT,,char(50)
PROVINCIA,,char(50)
PAIS,,char(30)
ADMINISTRATIU,,varchar(60)
TELEFON1,,char(20)
TELEFON2,,char(20)
FAX,,char(20)
EMAIL,,varchar(60)
CONTOBRA,,varchar(60)
TELFMOV1,,char(20)
TELFMOV2,,char(20)
OBSERVACIONS,,varchar(240)
IDUSUARICREADOR,,int
DATACREACIO,,datetime
IDUSUARIMODIFICADOR,,int
DATAMODIFICACIO,,datetime
