Field,,Type
idDelegacion,,int
idContacto,,int
codigoEmpresa,,int
cifDelegacion,,varchar(20)
nombreDelegacion,,varchar(30)
idUrbana,,int
urbanaDelegacion,,varchar(15)
direccionFiscalDelegacion,,varchar(255)
idpoblacion,,int
poblacionDelegacion,,varchar(80)
idcp,,int
cpostalDelegacion,,varchar(5)
idprovincia,,int
provinciaDelegacion,,varchar(80)
idpais,,int
paisDelegacion,,varchar(80)
horarioDelegacion,,varchar(50)
telefonoDelegacion,,varchar(12)
telefono2Delegacion,,varchar(12)
emailDelegacion,,varchar(128)
palabraclaveDelegacion,,varchar(200)
