Field,,Type
idEmpresa,,int
codigEmpresa,,varchar(15)
nomEmpresa,,varchar(80)
aliasEmpresa,,varchar(25)
cifEmpresa,,varchar(20)
direccionFiscal,,varchar(100)
idcontacto,,int
contacto,,varchar(30)
horarioEmpresa,,varchar(80)
telefono,,varchar(20)
telefono2,,varchar(20)
telefono3,,varchar(15)
emailEmpresa,,varchar(50)
cliente,,tinyint(1)
proveedor,,tinyint(1)
transportista,,tinyint(1)
deposito,,tinyint(1)
potencial,,tinyint(1)
precioTransEntrega,,"double(6,2)"
precioTransRecogida,,"double(6,2)"
nombreComercial,,varchar(15)
cuentaBancaria,,varchar(24)
nombreBanco,,varchar(50)
entPorAdelantado,,tinyint(1)
devPorAdelantado,,tinyint(1)
monPorAdelantado,,tinyint(1)
desPorAdelantado,,tinyint(1)
observaciones,,varchar(254)
zcurbanaIdurbana,,int
cityId,,int
postcodeId,,int
provinceId,,int
countryId,,int
userId,,int
moroso,,tinyint(1)
envioFacturas,,tinyint(1)
urbana,,varchar(15)
poblacionEmpresa,,varchar(80)
cpEmpresa,,varchar(5)
provinciaEmpresa,,varchar(80)
paisEmpresa,,varchar(80)
idTipoIva,,int
